matchid,season,Date,Time,HomeTeam,AwayTeam,league,FTHG,FTAG,FTgoals,HTHG,HTAG,htgoals,HS,AS,HST,AST,totalshotontarget,HF,AF,HC,AC,total corner,HY,AY,HR,AR,round,home_team_rank,away_team_rank,homeform,awayform,home_team_rolling_avg_goals_conceded,away_team_rolling_avg_goals_conceded,home_team_rolling_avg_goals,away_team_rolling_avg_goals,home_rankclass,away_rankclass,homeform_class,awayform_class,hometeamplayingstyle,awayteamplayingstyle,hometeamrating,awayteamrating,homeratingclass,awayratingclass,versusplayingstyle,versusteamrating,versustableclass,versusformclass,fifatopteamlocation,Month,goalcycle,home_goal_class,away_conceded_class,home_goal_away_conceded_class,overtwo,,odds,stake,capital,return,actual return ,market movement
Match-51,2024/2025,27/09/2024,19:45,Milan,Lecce,Serie A,3,0,3,3,0,3,15,16,6,7,13,5,8,4,7,11,1,1,1,0,6,7,17,1.6,1,1.4,1.6,2.2,0.6,eurospot,bottom,mid,low,highpressing,Defensive,83,70,top,low,highpressingVDefensive,topVlow,topfourVtopfour,topVmid,Home,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,6394
Match-52,2024/2025,28/09/2024,14:00,Udinese,Inter,Serie A,2,3,5,1,2,3,10,16,3,7,10,13,6,7,3,10,1,0,0,0,6,3,6,2,1.6,1.4,1,1.4,2,topfour,eurospot,mid,mid,Defensive,compactplay,75,84,mid,top,DefensiveVcompactplay,midVtop,midtableVtopfour,midVtop,Away,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,6194
Match-53,2024/2025,28/09/2024,17:00,Genoa,Juventus,Serie A,0,3,3,0,0,0,7,12,2,3,5,8,14,5,3,8,2,1,0,0,6,16,4,1,1.8,1.4,0,0.8,1.2,bottom,topfour,low,mid,compactplay,directplay,73,83,low,top,compactplayVdirectplay,lowVtop,topfourVtopfour,midVmid,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,5994
Match-54,2024/2025,28/09/2024,19:45,Bologna,Atalanta,Serie A,1,1,2,0,0,0,5,23,1,5,6,16,12,2,9,11,3,3,1,0,6,13,12,1.2,1.2,1.6,2.2,1.2,2,midtable,midtable,mid,mid,directplay,highpressing,75,81,mid,top,directplayVhighpressing,midVtop,midtableVeurospot,midVmid,Away,,,Mid,Low,MidVLow,1,win,1.57,200,10000,314,114,6108
Match-55,2024/2025,29/09/2024,11:30,Torino,Lazio,Serie A,2,3,5,0,1,1,12,13,7,7,14,10,13,3,1,4,2,3,0,0,6,1,8,2.2,1.4,1,1.6,1.6,1.8,topfour,eurospot,top,mid,compactplay,directplay,75,80,mid,top,compactplayVdirectplay,midVtop,midtableVeurospot,midVmid,Away,,,Mid,Mid,MidVMid,0,loss,0,200,10000,0,-200,5908
Match-56,2024/2025,29/09/2024,14:00,Como,Verona,Serie A,3,2,5,1,0,1,24,6,11,3,14,10,19,9,1,10,2,5,0,1,6,15,10,1,1.2,1.8,1.6,1.2,1.6,bottom,midtable,low,mid,Defensive,highpressing,68,73,low,low,DefensiveVhighpressing,lowVlow,midtableVmidtable,midVmid,tough,,,Mid,Mid,MidVMid,0,loss,0,200,10000,0,-200,5708
Match-57,2024/2025,29/09/2024,14:00,Roma,Venezia,Serie A,2,1,3,0,1,1,22,18,5,7,12,8,13,6,3,9,1,2,0,0,6,9,18,1.2,0.8,0.6,1.6,1,0.6,midtable,bottom,mid,low,possessionplay,possessionplay,81,69,top,low,possessionplayVpossessionplay,topVlow,eurospotVeurospot,midVmid,Home,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,5508
Match-58,2024/2025,29/09/2024,17:00,Empoli,Fiorentina,Serie A,0,0,0,0,0,0,8,13,1,0,1,15,12,2,4,6,0,1,0,0,6,5,11,1.8,1.2,0.4,1.4,1,1.4,eurospot,midtable,mid,mid,possessionplay,possessionplay,72,77,low,mid,possessionplayVpossessionplay,lowVmid,midtableVeurospot,midVmid,Away,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,5622
Match-59,2024/2025,29/09/2024,19:45,Napoli,Monza,Serie A,2,0,2,2,0,2,11,5,2,1,3,16,8,1,3,4,1,2,0,0,6,2,19,2,0.6,0.8,1.2,1.8,0.8,topfour,bottom,mid,low,highpressing,directplay,82,71,top,low,highpressingVdirectplay,topVlow,topfourVtopfour,topVmid,Home,,,Low,Mid,LowVMid,1,win,1.57,200,10000,314,114,5736
Match-60,2024/2025,30/09/2024,19:45,Parma,Cagliari,Serie A,2,3,5,0,1,1,18,11,4,4,8,10,16,5,3,8,3,2,0,0,6,14,20,1,0.4,1.8,1.6,1.6,0.2,midtable,bottom,low,low,Defensive,compactplay,72,73,low,low,DefensiveVcompactplay,lowVlow,midtableVeurospot,midVmid,tough,,,Mid,Mid,MidVMid,0,loss,0,200,10000,0,-200,5536
